iter	RMSE
0	11916.57679
1	11822.7971
2	11731.92377
3	11641.74007
4	11545.05793
5	11449.59478
6	11354.93054
7	11261.67706
8	11168.51755
9	11076.99485
10	10987.03513
11	10900.37717
12	10812.91375
13	10734.52724
14	10649.50627
15	10567.06798
16	10486.58611
17	10403.60987
18	10323.93527
19	10249.13103
20	10171.86668
21	10093.05133
22	10016.06539
23	9947.668917
24	9875.098317
25	9797.591422
26	9729.046166
27	9654.853608
28	9585.398273
29	9512.332744
30	9439.938081
31	9368.411509
32	9300.610641
33	9232.684313
34	9163.669704
35	9099.054794
36	9033.810993
37	8967.026487
38	8901.210172
39	8838.062826
40	8776.199765
41	8712.614902
42	8649.96115
43	8594.054989
44	8535.606808
45	8482.427691
46	8423.334668
47	8364.015332
48	8308.298863
49	8250.83177
50	8194.619124
51	8142.473817
52	8086.946632
53	8031.835754
54	7978.668473
55	7932.670437
56	7881.72637
57	7830.321508
58	7781.26937
59	7733.865788
60	7683.676056
61	7633.806764
62	7585.182715
63	7540.61654
64	7497.473365
65	7451.54371
66	7407.291311
67	7365.870679
68	7321.210407
69	7277.916328
70	7235.082269
71	7193.659325
72	7153.784381
73	7112.746675
74	7071.046642
75	7032.326583
76	6991.874874
77	6953.783647
78	6916.912796
79	6878.981567
80	6841.123176
81	6803.623656
82	6767.364622
83	6730.688359
84	6694.042709
85	6658.042938
86	6623.191308
87	6592.774672
88	6560.609747
89	6527.538384
90	6494.927757
91	6464.673612
92	6437.505107
93	6405.410942
94	6373.913249
95	6347.412317
96	6317.480996
97	6286.892026
98	6258.632969
99	6229.463111
100	6200.150767
101	6172.161681
102	6144.307193
103	6116.889605
104	6089.564134
105	6062.633611
106	6038.103442
107	6013.066675
108	5989.056548
109	5963.366906
110	5940.905874
111	5919.833952
112	5895.551488
113	5872.067197
114	5849.532979
115	5826.394102
116	5803.857593
117	5781.234692
118	5758.780656
119	5738.669659
120	5717.768579
121	5696.71638
122	5676.280675
123	5656.470393
124	5637.139019
125	5618.363756
126	5600.687032
127	5581.219387
128	5562.265667
129	5543.162959
130	5525.308214
131	5508.978858
132	5492.575168
133	5475.458184
134	5458.207882
135	5440.905131
136	5425.84476
137	5411.743925
138	5395.728638
139	5380.082651
140	5364.08403
141	5348.188362
142	5333.065194
143	5318.259633
144	5303.132703
145	5290.323893
146	5276.281654
147	5262.296957
148	5248.842091
149	5235.908341
150	5223.296709
151	5211.061417
152	5197.653625
153	5185.385679
154	5173.623938
155	5161.40426
156	5150.213032
157	5138.031249
158	5126.91126
159	5115.413041
160	5104.372866
161	5092.934505
162	5082.225843
163	5073.195506
164	5063.687909
165	5054.048941
166	5043.865778
167	5034.267221
168	5024.698972
169	5014.543797
170	5005.170118
171	4995.672775
172	4986.804901
173	4977.546388
174	4969.240635
175	4960.952568
176	4952.22844
177	4943.969348
178	4936.042552
179	4927.360262
180	4919.391678
181	4911.835047
182	4904.360255
183	4897.41012
184	4889.749132
185	4882.644278
186	4875.555917
187	4867.725958
188	4859.689914
189	4852.536611
190	4845.591354
191	4838.644866
192	4831.817404
193	4825.162608
194	4817.806517
195	4811.462077
196	4804.736654
197	4798.404775
198	4792.044223
199	4786.452
200	4780.429877
201	4774.349785
202	4768.167272
203	4762.292307
204	4757.771037
205	4752.027421
206	4746.540174
207	4741.493399
208	4736.467097
209	4732.22834
210	4727.063622
211	4721.913657
212	4717.118823
213	4713.347417
214	4709.496618
215	4704.818605
216	4701.038921
217	4696.837259
218	4692.222832
219	4688.283813
220	4684.414746
221	4680.485386
222	4676.298731
223	4672.046406
224	4669.193547
225	4664.824937
226	4661.104898
227	4657.080327
228	4652.713808
229	4648.942753
230	4646.065282
231	4642.389439
232	4638.993941
233	4634.827392
234	4631.576343
235	4628.161309
236	4626.354754
237	4622.756978
238	4619.744904
239	4616.646093
240	4614.975954
241	4611.945128
242	4608.248095
243	4605.049651
244	4601.404713
245	4599.816888
246	4597.438646
247	4593.815949
248	4590.604826
249	4589.079016
250	4586.466162
251	4583.739552
252	4580.755722
253	4578.248045
254	4575.406348
255	4572.978185
256	4570.59836
257	4568.171235
258	4565.472149
259	4563.350932
260	4560.76812
261	4558.539846
262	4556.702874
263	4554.998557
264	4552.147759
265	4550.131751
266	4548.015633
267	4545.892588
268	4542.859376
269	4540.669697
270	4538.822557
271	4536.945086
272	4535.219631
273	4533.143304
274	4531.312363
275	4529.639191
276	4527.007863
277	4524.867093
278	4522.983008
279	4521.023796
280	4519.679934
281	4517.361248
282	4515.395135
283	4513.686954
284	4511.92012
285	4509.947012
286	4508.471401
287	4506.547257
288	4504.746868
289	4503.020805
290	4501.016591
291	4499.359469
292	4498.027458
293	4496.672687
294	4495.292837
295	4493.696658
296	4493.115718
297	4491.404065
298	4490.136567
299	4488.607234
300	4486.988085
