iter	RMSE
301	4485.17251
302	4483.420297
303	4482.099255
304	4480.521728
305	4479.225195
306	4477.936735
307	4476.470286
308	4475.790619
309	4474.284084
310	4473.20557
311	4471.641043
312	4471.162711
313	4469.586657
314	4468.115747
315	4466.8791
316	4465.715518
317	4464.406533
318	4463.159446
319	4461.759915
320	4461.319293
321	4460.08769
322	4459.315528
323	4458.297931
324	4457.320266
325	4455.719666
326	4454.887297
327	4453.900373
328	4452.80161
329	4451.772793
330	4450.864497
331	4450.022995
332	4448.971252
333	4448.07766
334	4447.129242
335	4446.33542
336	4445.355562
337	4444.458232
338	4443.591295
339	4442.708303
340	4441.797237
341	4440.507764
342	4439.581657
343	4438.818999
344	4438.157846
345	4437.050105
346	4436.220248
347	4435.273223
348	4434.463047
349	4433.520722
350	4432.704108
351	4431.772173
352	4431.00798
353	4430.238912
354	4429.507823
355	4428.048378
356	4427.056254
357	4425.799187
358	4424.77751
359	4424.148047
360	4423.382102
361	4422.268193
362	4421.667267
363	4420.6992
364	4419.917027
365	4419.1089
366	4417.883706
367	4416.843634
368	4416.052769
369	4414.986818
370	4414.191302
371	4413.623483
372	4412.434474
373	4411.73055
374	4411.320125
375	4410.748269
376	4410.159699
377	4409.917276
378	4408.717534
379	4407.950438
380	4407.218588
381	4406.647628
382	4406.199726
383	4405.555381
384	4404.749835
385	4404.580579
386	4403.631809
387	4403.055815
388	4402.586514
389	4402.364821
390	4401.426322
391	4400.606657
392	4400.045232
393	4399.155703
394	4398.641433
395	4398.248722
396	4397.649032
397	4396.79115
398	4395.940193
399	4395.282432
400	4394.950413
401	4394.562615
402	4393.711813
403	4392.89581
404	4392.037441
405	4391.750527
406	4391.25379
407	4390.324284
408	4389.63057
409	4388.475542
410	4387.961159
411	4387.322952
412	4386.677352
413	4385.947418
414	4384.918925
415	4384.312749
416	4383.875557
417	4383.231942
418	4382.769306
419	4381.820299
420	4381.218423
421	4380.352372
422	4379.213761
423	4378.857353
424	4378.056829
425	4377.37135
426	4376.400824
427	4374.641472
428	4374.238946
429	4373.432319
430	4372.939844
431	4371.855172
432	4371.397765
433	4370.572411
434	4370.051706
435	4369.550124
436	4369.133235
437	4368.761371
438	4367.584844
439	4365.988388
440	4365.10369
441	4364.994281
442	4364.717426
443	4363.996939
444	4362.974198
445	4362.414307
446	4361.710865
447	4360.998735
448	4360.273911
449	4359.951126
450	4358.620236
451	4358.53397
452	4358.26378
453	4357.789254
454	4356.805262
455	4355.268952
456	4354.720404
457	4354.372062
458	4353.507627
459	4352.774517
460	4352.610879
461	4352.291391
462	4351.893095
463	4350.685407
464	4350.643522
465	4349.377456
466	4349.059901
467	4348.469326
468	4347.540904
469	4346.664624
470	4346.234137
471	4345.504653
472	4344.855722
473	4343.588674
474	4342.803836
475	4341.537855
476	4340.903841
477	4340.767974
478	4340.38819
479	4339.621918
480	4339.045107
